"Year","Emission category","Greenhouse gas","Emission, thousand tonnes of CO2 eq. (GWP=AR5)"
"1990","Emissions without LULUCF","Total",71331
"1990","Emissions without LULUCF","Carbon dioxide (CO2)",57086
"1990","Emissions without LULUCF","Methane (CH4)",8624
"1990","Emissions without LULUCF","Nitrous oxide (N2O)",5567
"1990","Emissions without LULUCF","F-gases (HFCs+PFCs+SF6)",54
"1990","Emissions without LULUCF","Hydrofluorocarbons (HFCs)",0
"1990","Emissions without LULUCF","Perfluorocarbons (PFCs)",0
"1990","Emissions without LULUCF","Sulfur hexafluoride (SF6)",54
"1990","Emissions with LULUCF","Total",48156
"1990","Emissions with LULUCF","Carbon dioxide (CO2)",30720
"1990","Emissions with LULUCF","Methane (CH4)",10317
"1990","Emissions with LULUCF","Nitrous oxide (N2O)",7065
"1990","Emissions with LULUCF","F-gases (HFCs+PFCs+SF6)",54
"1990","Emissions with LULUCF","Hydrofluorocarbons (HFCs)",0
"1990","Emissions with LULUCF","Perfluorocarbons (PFCs)",0
"1990","Emissions with LULUCF","Sulfur hexafluoride (SF6)",54
"1990","1 Energy","Total",53420
"1990","1 Energy","Carbon dioxide (CO2)",52585
"1990","1 Energy","Methane (CH4)",354
"1990","1 Energy","Nitrous oxide (N2O)",481
"1990","1 Energy","F-gases (HFCs+PFCs+SF6)",-
"1990","1 Energy","Hydrofluorocarbons (HFCs)",-
"1990","1 Energy","Perfluorocarbons (PFCs)",-
"1990","1 Energy","Sulfur hexafluoride (SF6)",-
"1990","1A1 Energy industries","Total",18958
"1990","1A1 Energy industries","Carbon dioxide (CO2)",18843
"1990","1A1 Energy industries","Methane (CH4)",11
"1990","1A1 Energy industries","Nitrous oxide (N2O)",104
"1990","1A1 Energy industries","F-gases (HFCs+PFCs+SF6)",-
"1990","1A1 Energy industries","Hydrofluorocarbons (HFCs)",-
"1990","1A1 Energy industries","Perfluorocarbons (PFCs)",-
"1990","1A1 Energy industries","Sulfur hexafluoride (SF6)",-
"1990","1A2 Manufacturing industries and construction","Total",13358
"1990","1A2 Manufacturing industries and construction","Carbon dioxide (CO2)",13192
"1990","1A2 Manufacturing industries and construction","Methane (CH4)",18
"1990","1A2 Manufacturing industries and construction","Nitrous oxide (N2O)",148
"1990","1A2 Manufacturing industries and construction","F-gases (HFCs+PFCs+SF6)",-
"1990","1A2 Manufacturing industries and construction","Hydrofluorocarbons (HFCs)",-
"1990","1A2 Manufacturing industries and construction","Perfluorocarbons (PFCs)",-
"1990","1A2 Manufacturing industries and construction","Sulfur hexafluoride (SF6)",-
"1990","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Total",12414
"1990","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Carbon dioxide (CO2)",12257
"1990","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Methane (CH4)",16
"1990","1A2(-1A2gvii) Manufacturing industries and construction excl. off-road vehicles and other machinery","Nitrous oxide (N2O)",142
